Row ID,Order ID,Order Date,Date Key,Contact Name,Country,City,Region,Subregion,Customer,Customer ID,Industry,Segment,Product,License,Sales,Quantity,Discount,Profit,Profit Margin %,Total Revenue,Profit Margin Category
28,EMEA-2021-150630,2021-09-17,20210917,Neil Gill,France,Paris,EMEA,EU-WEST,Intel,1051,Tech,SMB,Marketing Suite,F8G07TWQ17,3083.43,7,0.5,-1665.0522,-54.0,21584.01,Loss
29,EMEA-2021-150630,2021-09-17,20210917,Neil Gill,France,Paris,EMEA,EU-WEST,Intel,1051,Tech,SMB,ContactMatcher,BGL4P1U2CZ,9.618,2,0.7,-7.0532,-73.33333333333334,19.236,Loss
30,EMEA-2021-150630,2021-09-17,20210917,Neil Gill,France,Paris,EMEA,EU-WEST,Intel,1051,Tech,SMB,SaaS Connector Pack,B5H6S070N8,124.2,3,0.2,15.525,12.5,372.6,Medium Profit
31,EMEA-2021-150630,2021-09-17,20210917,Neil Gill,France,Paris,EMEA,EU-WEST,Intel,1051,Tech,SMB,SaaS Connector Pack - Gold,D9635UBJOG,3.264,2,0.2,1.1016,33.75,6.528,High Profit
32,EMEA-2021-150630,2021-09-17,20210917,Neil Gill,France,Paris,EMEA,EU-WEST,Intel,1051,Tech,SMB,ChatBot Plugin,6SQI2HAZ4C,86.304,6,0.2,9.7092,11.249999999999998,517.8240000000001,Medium Profit
33,EMEA-2021-150630,2021-09-17,20210917,Neil Gill,France,Paris,EMEA,EU-WEST,Intel,1051,Tech,SMB,ContactMatcher,GPQ0TDTGIM,6.858,6,0.7,-5.715,-83.33333333333334,41.147999999999996,Loss
34,EMEA-2021-150630,2021-09-17,20210917,Neil Gill,France,Paris,EMEA,EU-WEST,Intel,1051,Tech,SMB,ChatBot Plugin,4YZZHFC212,15.76,2,0.2,3.546,22.499999999999996,31.52,Medium Profit
35,APJ-2023-107727,2023-10-20,20231020,Amelia Campbell,Japan,Tokyo,APJ,JAPN,Glencore,1083,Misc,Enterprise,Support,77YXBOVGDH,29.472,3,0.2,9.9468,33.75,88.416,High Profit
36,APJ-2022-117590,2022-12-09,20221209,Chloe Short,Japan,Aichi,APJ,JAPN,Procter & Gamble,1077,Consumer Products,Strategic,Site Analytics,GCT4GPUBVT,1097.544,7,0.2,123.4737,11.249999999999998,7682.808000000001,Medium Profit
37,APJ-2022-117590,2022-12-09,20221209,Chloe Short,Japan,Aichi,APJ,JAPN,Procter & Gamble,1077,Consumer Products,Strategic,SaaS Connector Pack,TKN9K1JO1D,190.92,5,0.6,-147.963,-77.5,954.5999999999999,Loss
38,APJ-2021-117415,2021-12-27,20211227,Jasmine Metcalfe,Japan,Tokyo,APJ,JAPN,Banco Santander,1101,Finance,Enterprise,SaaS Connector Pack - Gold,2F0NIUM5X9,113.328,9,0.2,35.415,31.25,1019.952,High Profit
39,APJ-2021-117415,2021-12-27,20211227,Jasmine Metcalfe,Japan,Tokyo,APJ,JAPN,Banco Santander,1101,Finance,Enterprise,Marketing Suite,FBXEM82WEZ,532.3992,3,0.32,-46.9764,-8.823529411764707,1597.1976,Loss
40,APJ-2021-117415,2021-12-27,20211227,Jasmine Metcalfe,Japan,Tokyo,APJ,JAPN,Banco Santander,1101,Finance,Enterprise,FinanceHub,TS9MS0FQVU,212.058,3,0.3,-15.147,-7.142857142857144,636.174,Loss
41,APJ-2021-117415,2021-12-27,20211227,Jasmine Metcalfe,Japan,Tokyo,APJ,JAPN,Banco Santander,1101,Finance,Enterprise,Site Analytics,HDJMRDRWK6,371.168,4,0.2,41.7564,11.25,1484.672,Medium Profit
42,APJ-2023-120999,2023-09-11,20230911,Karen Mathis,Australia,Wollongong,APJ,ANZ,Pemex,1058,Energy,Strategic,Site Analytics,QINRKET2EK,147.168,4,0.2,16.5564,11.249999999999998,588.672,Medium Profit
43,AMER-2022-101343,2022-07-18,20220718,Dylan Dickens,United States,New York City,AMER,NAMER,Siemens,1043,Manufacturing,Strategic,Marketing Suite - Gold,DFHNNSTX0P,77.88,2,0.0,3.894,5.0,155.76,Low Profit
44,EMEA-2023-139619,2023-09-20,20230920,Sophie Lewis,Germany,Hanover,EMEA,EU-WEST,Samsung Electronics,1015,Tech,Strategic,Marketing Suite - Gold,616XTGD7Y3,95.616,2,0.2,9.5616,10.0,191.232,Low Profit
45,EMEA-2022-118255,2022-03-12,20220312,Gavin Mitchell,Luxembourg,Luxembourg,EMEA,EU-WEST,Sony,1028,Tech,Strategic,Data Smasher,F4GWWGL9KR,45.98,2,0.0,19.7714,43.00000000000001,91.96,High Profit
46,EMEA-2022-118255,2022-03-12,20220312,Gavin Mitchell,Luxembourg,Luxembourg,EMEA,EU-WEST,Sony,1028,Tech,Strategic,ContactMatcher,JFCUNTQD5P,17.46,2,0.0,8.2062,47.0,34.92,High Profit
47,AMER-2020-146703,2020-10-20,20201020,Katherine Dowd,Brazil,Salvador,AMER,LATAM,Morgan Stanley,1068,Finance,SMB,Marketing Suite - Gold,S2GUIRDRRI,211.96,4,0.0,8.4784,4.0,847.84,Low Profit
48,APJ-2022-169194,2022-06-21,20220621,Harry Brown,Philippines,Davao City,APJ,APAC,Bank of America Corp.,1011,Finance,SMB,Data Smasher,2L5WUVH1UW,45.0,3,0.0,4.95,11.0,135.0,Medium Profit
49,APJ-2022-169194,2022-06-21,20220621,Harry Brown,Philippines,Davao City,APJ,APAC,Bank of America Corp.,1011,Finance,SMB,Site Analytics,O0QZ4DQ2DW,21.8,2,0.0,6.104,27.999999999999996,43.6,Medium Profit
50,APJ-2021-115742,2021-04-18,20210418,Brian Dickens,India,Kolkata,APJ,IND,Siemens,1043,Manufacturing,SMB,ContactMatcher,4A8Q6U643K,38.22,6,0.0,17.9634,47.0,229.32,High Profit
51,APJ-2021-115742,2021-04-18,20210418,Brian Dickens,India,Kolkata,APJ,IND,Siemens,1043,Manufacturing,SMB,FinanceHub,N3660I16OB,75.18,6,0.0,35.3346,47.0,451.08000000000004,High Profit
52,APJ-2021-115742,2021-04-18,20210418,Brian Dickens,India,Kolkata,APJ,IND,Siemens,1043,Manufacturing,SMB,SaaS Connector Pack,DU3DC8HDNW,6.16,2,0.0,2.9568,48.0,12.32,High Profit
53,APJ-2021-115742,2021-04-18,20210418,Brian Dickens,India,Kolkata,APJ,IND,Siemens,1043,Manufacturing,SMB,FinanceHub,SCMV1FUA1Z,89.99,1,0.0,17.0981,19.0,89.99,Medium Profit
54,EMEA-2022-105816,2022-12-12,20221212,Joseph Newman,United Kingdom,London,EMEA,UKIR,Tesco,1059,Retail,Strategic,Storage,5JTHBK78DZ,15.26,7,0.0,6.2566,41.0,106.82,High Profit
55,EMEA-2022-105816,2022-12-12,20221212,Joseph Newman,United Kingdom,London,EMEA,UKIR,Tesco,1059,Retail,Strategic,Site Analytics,JPNWB3X2PG,1029.95,5,0.0,298.6855,28.999999999999996,5149.75,Medium Profit
56,EMEA-2022-111682,2022-06-18,20220618,Nicola Howard,United Kingdom,Brighton,EMEA,UKIR,Aviva,1006,Finance,SMB,Marketing Suite - Gold,RI8MDZ0Y3A,208.56,6,0.0,52.14,25.0,1251.3600000000001,Medium Profit
57,EMEA-2022-111682,2022-06-18,20220618,Nicola Howard,United Kingdom,Brighton,EMEA,UKIR,Aviva,1006,Finance,SMB,Support,TA8D5XDFPN,32.4,5,0.0,15.552,48.0,162.0,High Profit
58,EMEA-2022-111682,2022-06-18,20220618,Nicola Howard,United Kingdom,Brighton,EMEA,UKIR,Aviva,1006,Finance,SMB,FinanceHub,9QD1V31VWF,319.41,5,0.1,7.098,2.222222222222222,1597.0500000000002,Low Profit
59,EMEA-2022-111682,2022-06-18,20220618,Nicola Howard,United Kingdom,Brighton,EMEA,UKIR,Aviva,1006,Finance,SMB,Support,NKEOT3DP5L,14.56,2,0.0,6.9888,48.0,29.12,High Profit
60,EMEA-2022-111682,2022-06-18,20220618,Nicola Howard,United Kingdom,Brighton,EMEA,UKIR,Aviva,1006,Finance,SMB,Data Smasher,I8M069JA80,30.0,2,0.0,3.3,11.0,60.0,Medium Profit
61,EMEA-2022-111682,2022-06-18,20220618,Nicola Howard,United Kingdom,Brighton,EMEA,UKIR,Aviva,1006,Finance,SMB,ContactMatcher,3N1DY2AIMD,48.48,4,0.2,16.362,33.75,193.92,High Profit
62,EMEA-2022-111682,2022-06-18,20220618,Nicola Howard,United Kingdom,Brighton,EMEA,UKIR,Aviva,1006,Finance,SMB,ChatBot Plugin,MBZM7LCSK4,1.68,1,0.0,0.84,50.0,1.68,High Profit
63,AMER-2021-135545,2021-11-24,20211124,Stewart Wilson,United States,New York City,AMER,NAMER,Mondelez International,1067,Consumer Products,SMB,Data Smasher,LMJYGCZAFV,13.98,2,0.0,6.1512,44.0,27.96,High Profit
64,AMER-2021-135545,2021-11-24,20211124,Stewart Wilson,United States,New York City,AMER,NAMER,Mondelez International,1067,Consumer Products,SMB,ContactMatcher,MVEQDJNPR2,25.824,6,0.2,9.3612,36.25,154.94400000000002,High Profit
65,AMER-2021-135545,2021-11-24,20211124,Stewart Wilson,United States,New York City,AMER,NAMER,Mondelez International,1067,Consumer Products,SMB,Support,OLS0NNZ15B,146.73,3,0.0,68.9631,47.0,440.18999999999994,High Profit
66,AMER-2021-135545,2021-11-24,20211124,Stewart Wilson,United States,New York City,AMER,NAMER,Mondelez International,1067,Consumer Products,SMB,SaaS Connector Pack,84GUTTZTC0,79.76,4,0.0,22.3328,27.999999999999996,319.04,Medium Profit
67,APJ-2021-164175,2021-04-30,20210430,Eric McLean,Australia,Sydney,APJ,ANZ,Abbott Laboratories,1001,Healthcare,Enterprise,FinanceHub,6QHQUNX985,213.115,5,0.3,-15.2225,-7.142857142857142,1065.575,Loss
68,AMER-2020-106376,2020-12-05,20201205,Leah Clarkson,Chile,Puente Alto,AMER,LATAM,Morgan Stanley,1068,Finance,Strategic,ChatBot Plugin,91D0JN8T6U,1113.024,8,0.2,111.3024,10.000000000000002,8904.192,Medium Profit
69,AMER-2020-106376,2020-12-05,20201205,Leah Clarkson,Chile,Puente Alto,AMER,LATAM,Morgan Stanley,1068,Finance,Strategic,Site Analytics,6NQZXRTE33,167.968,4,0.2,62.988,37.5,671.872,High Profit
70,EMEA-2022-119823,2022-06-05,20220605,Alison Davidson,Spain,Madrid,EMEA,EU-WEST,Fannie Mae,1035,Finance,SMB,Support,JH2K4261IC,75.88,2,0.0,35.6636,47.00000000000001,151.76,High Profit
71,EMEA-2022-106075,2022-09-19,20220919,Sophie Vance,United Kingdom,London,EMEA,UKIR,Aetna,1002,Healthcare,SMB,ContactMatcher,5MAZAYKQ5U,4.616,1,0.2,1.731,37.50000000000001,4.616,High Profit
72,AMER-2023-114440,2023-09-15,20230915,Neil Gill,Brazil,Rio de Janeiro,AMER,LATAM,Intel,1051,Tech,SMB,Support,K4O1D2NXHZ,19.05,3,0.0,8.763,46.0,57.150000000000006,High Profit
73,EMEA-2021-134026,2021-04-26,20210426,Anne Lee,South Africa,Cape Town,EMEA,MEA,Oracle,1072,Tech,SMB,FinanceHub,NPQNQFYUUU,831.936,8,0.2,-114.3912,-13.749999999999998,6655.488,Loss
74,EMEA-2021-134026,2021-04-26,20210426,Anne Lee,South Africa,Cape Town,EMEA,MEA,Oracle,1072,Tech,SMB,SaaS Connector Pack,D0Z9FZR0JL,97.04,2,0.2,1.213,1.25,194.08,Low Profit
75,EMEA-2021-134026,2021-04-26,20210426,Anne Lee,South Africa,Cape Town,EMEA,MEA,Oracle,1072,Tech,SMB,Marketing Suite - Gold,X15ND79M8Q,72.784,1,0.2,-18.196,-25.0,72.784,Loss
76,APJ-2023-118038,2023-12-10,20231210,Maria Dyer,Japan,Tokyo,APJ,JAPN,Nissan Motor,1098,Transportation,Strategic,ContactMatcher,A4VC3VGTLE,1.248,3,0.8,-1.9344,-154.99999999999997,3.7439999999999998,Loss
77,APJ-2023-118038,2023-12-10,20231210,Maria Dyer,Japan,Tokyo,APJ,JAPN,Nissan Motor,1098,Transportation,Strategic,SaaS Connector Pack,IR30G9I4WJ,9.708,3,0.6,-5.8248,-60.0,29.124000000000002,Loss
78,APJ-2023-118038,2023-12-10,20231210,Maria Dyer,Japan,Tokyo,APJ,JAPN,Nissan Motor,1098,Transportation,Strategic,Marketing Suite - Gold,PGTVTGM7XI,27.24,3,0.2,2.724,10.000000000000002,81.72,Medium Profit
79,APJ-2020-147606,2020-11-26,20201126,Anne Lee,Japan,Tokyo,APJ,JAPN,Oracle,1072,Tech,SMB,SaaS Connector Pack,JQHP8C8VXP,19.3,5,0.6,-14.475,-75.0,96.5,Loss
80,EMEA-2022-127208,2022-06-13,20220613,Julia Ellison,Portugal,Lisboa,EMEA,EU-WEST,Tyson Foods,1088,Consumer Products,Strategic,OneView,1I3JIURUQR,208.16,1,0.0,56.2032,27.0,208.16,Medium Profit
81,EMEA-2022-127208,2022-06-13,20220613,Julia Ellison,Portugal,Lisboa,EMEA,EU-WEST,Tyson Foods,1088,Consumer Products,Strategic,ContactMatcher,0UHOHNAAAD,16.74,3,0.0,8.0352,48.00000000000001,50.22,High Profit
82,AMER-2020-139451,2020-10-12,20201012,Gordon McLean,United States,Los Angeles,AMER,NAMER,Verizon Communications,1094,Communications,SMB,ChatBot Plugin,920M0N09EE,14.9,5,0.0,4.172,27.999999999999996,74.5,Medium Profit
83,AMER-2020-139451,2020-10-12,20201012,Gordon McLean,United States,Los Angeles,AMER,NAMER,Verizon Communications,1094,Communications,SMB,Marketing Suite - Gold,9SVF10L0F3,21.39,1,0.0,6.2031,28.999999999999996,21.39,Medium Profit
84,EMEA-2021-149734,2021-09-03,20210903,Jessica Buckland,Sweden,Uppsala,EMEA,NOR,Itochu,1032,Finance,Strategic,SaaS Connector Pack - Gold,CFUHIDO1WY,200.984,7,0.2,62.8075,31.25,1406.8880000000001,High Profit
85,APJ-2023-119662,2023-11-14,20231114,Bernadette Nolan,Australia,Sydney,APJ,ANZ,Royal Dutch Shell,1031,Energy,Enterprise,Marketing Suite - Gold,CUL2MB77E0,230.376,3,0.2,-48.9549,-21.25,691.128,Loss
86,AMER-2023-140088,2023-05-29,20230529,Katherine Dowd,Colombia,Bogotá,AMER,LATAM,Morgan Stanley,1068,Finance,SMB,FinanceHub,RBNGNEEYS9,301.96,2,0.0,33.2156,11.000000000000002,603.92,Medium Profit
87,EMEA-2023-155558,2023-10-27,20231027,Sonia Ince,Luxembourg,Luxembourg,EMEA,EU-WEST,Daimler,1052,Transportation,SMB,Data Smasher,W731G6G61K,19.99,1,0.0,6.7966,34.0,19.99,High Profit
88,EMEA-2023-155558,2023-10-27,20231027,Sonia Ince,Luxembourg,Luxembourg,EMEA,EU-WEST,Daimler,1052,Transportation,SMB,FinanceHub,A3HQUY156G,6.16,2,0.0,2.9568,48.0,12.32,High Profit
89,APJ-2022-159695,2022-04-06,20220406,William Lewis,Japan,Tokyo,APJ,JAPN,Fannie Mae,1035,Finance,Enterprise,Marketing Suite - Gold,45JXXNYX5W,158.368,7,0.2,13.8572,8.75,1108.576,Low Profit
90,AMER-2022-109806,2022-09-18,20220918,Melanie Young,United States,New York City,AMER,NAMER,Daimler,1052,Transportation,Strategic,ChatBot Plugin,AX50KL6AG9,20.1,3,0.0,6.633,32.99999999999999,60.300000000000004,High Profit
91,AMER-2022-109806,2022-09-18,20220918,Melanie Young,United States,New York City,AMER,NAMER,Daimler,1052,Transportation,Strategic,Site Analytics,S4CEY2GSVW,73.584,2,0.2,8.2782,11.249999999999998,147.168,Medium Profit
92,AMER-2022-109806,2022-09-18,20220918,Melanie Young,United States,New York City,AMER,NAMER,Daimler,1052,Transportation,Strategic,Support,V86OBN8J1U,6.48,1,0.0,3.1104,47.99999999999999,6.48,High Profit
93,EMEA-2021-149587,2021-01-31,20210131,Edward Oliver,Luxembourg,Luxembourg,EMEA,EU-WEST,Morgan Stanley,1068,Finance,SMB,Support,XJEFE2O3YF,12.96,2,0.0,6.2208,47.99999999999999,25.92,High Profit
94,EMEA-2021-149587,2021-01-31,20210131,Edward Oliver,Luxembourg,Luxembourg,EMEA,EU-WEST,Morgan Stanley,1068,Finance,SMB,SaaS Connector Pack,5XEHT10HDW,53.34,3,0.0,16.5354,30.999999999999993,160.02,High Profit
95,EMEA-2021-149587,2021-01-31,20210131,Edward Oliver,Luxembourg,Luxembourg,EMEA,EU-WEST,Morgan Stanley,1068,Finance,SMB,ContactMatcher,U40N63E6AK,32.96,2,0.0,16.1504,49.00000000000001,65.92,High Profit
96,EMEA-2023-109484,2023-11-07,20231107,Peter Quinn,Belgium,Brussels,EMEA,EU-WEST,Walgreens,1095,Retail,Enterprise,ContactMatcher,VK1TWXDWUR,5.682,1,0.7,-3.788,-66.66666666666666,5.682,Loss
97,EMEA-2023-161018,2023-11-10,20231110,Max Marshall,United Kingdom,London,EMEA,UKIR,Boeing,1014,Manufacturing,Enterprise,SaaS Connector Pack,UFEXZDF5TK,96.53,7,0.0,40.5426,42.0,675.71,High Profit
98,AMER-2023-157833,2023-06-18,20230618,Jan Watson,United States,Los Angeles,AMER,NAMER,Valero Energy,1093,Energy,SMB,ContactMatcher,GJFN2RJA9U,51.312,3,0.2,17.9592,35.0,153.93599999999998,High Profit
99,EMEA-2022-149223,2022-09-07,20220907,Carol Ball,Luxembourg,Luxembourg,EMEA,EU-WEST,Nestle,1089,Consumer Products,Strategic,OneView,PFLFDN3SOU,77.88,6,0.0,22.5852,29.000000000000004,467.28,Medium Profit
100,APJ-2022-158568,2022-08-30,20220830,Gavin Walsh,Australia,Sydney,APJ,ANZ,Philip Morris International,1075,Consumer Products,Enterprise,Support,2CWM52X1X9,64.624,7,0.2,22.6184,35.0,452.36799999999994,High Profit
101,APJ-2022-158568,2022-08-30,20220830,Gavin Walsh,Australia,Sydney,APJ,ANZ,Philip Morris International,1075,Consumer Products,Enterprise,Data Smasher,LW1M6UDC4B,95.976,3,0.2,-10.7973,-11.25,287.928,Loss
102,APJ-2022-158568,2022-08-30,20220830,Gavin Walsh,Australia,Sydney,APJ,ANZ,Philip Morris International,1075,Consumer Products,Enterprise,ContactMatcher,WCITXGLF0J,1.788,3,0.8,-3.0396,-170.0,5.364,Loss
103,EMEA-2022-129903,2022-12-02,20221202,Penelope Peake,Luxembourg,Luxembourg,EMEA,EU-WEST,Trafigura Group,1100,Finance,SMB,Support,45EAEXTILE,23.92,4,0.0,11.7208,49.0,95.68,High Profit
104,EMEA-2021-156867,2021-11-13,20211113,Amy Scott,Russia,Moscow,EMEA,EU-EAST,Walmart,1096,Retail,SMB,Data Smasher,EV59Z98WXW,238.896,6,0.2,-26.8758,-11.250000000000002,1433.376,Loss
105,EMEA-2021-156867,2021-11-13,20211113,Amy Scott,Russia,Moscow,EMEA,EU-EAST,Walmart,1096,Retail,SMB,SaaS Connector Pack,YR7I08I1K4,102.36,3,0.2,-3.8385,-3.75,307.08,Loss
106,EMEA-2021-156867,2021-11-13,20211113,Amy Scott,Russia,Moscow,EMEA,EU-EAST,Walmart,1096,Retail,SMB,ContactMatcher,W01T1PXXK7,36.882,3,0.7,-25.8174,-70.0,110.64599999999999,Loss
107,EMEA-2023-119004,2023-11-24,20231124,Carl Jackson,Sweden,Stockholm,EMEA,NOR,Cisco Systems,1019,Tech,SMB,Data Smasher,6D89G3BGGH,74.112,8,0.2,17.6016,23.750000000000004,592.896,Medium Profit
108,EMEA-2023-119004,2023-11-24,20231124,Carl Jackson,Sweden,Stockholm,EMEA,NOR,Cisco Systems,1019,Tech,SMB,Site Analytics,ECNQ9AS54S,27.992,1,0.2,2.0994,7.5,27.992,Low Profit
109,EMEA-2023-119004,2023-11-24,20231124,Carl Jackson,Sweden,Stockholm,EMEA,NOR,Cisco Systems,1019,Tech,SMB,ChatBot Plugin,D0H5JTRD3R,3.304,1,0.2,1.0738,32.50000000000001,3.304,High Profit
110,APJ-2021-129476,2021-10-15,20211015,Joe Wallace,Australia,Canberra,APJ,ANZ,Nissan Motor,1098,Transportation,Enterprise,Data Smasher,OG63K8FFP9,339.96,5,0.2,67.992,20.000000000000004,1699.8,Medium Profit
111,EMEA-2023-146780,2023-12-26,20231226,Luke Mills,United Kingdom,London,EMEA,UKIR,Prudential Financial,1078,Finance,Strategic,SaaS Connector Pack,E5KT4VQ59T,41.96,2,0.0,10.9096,25.999999999999996,83.92,Medium Profit
112,EMEA-2022-128867,2022-11-04,20221104,Alexandra Dyer,Netherlands,The Hague,EMEA,EU-WEST,Walmart,1096,Retail,SMB,ChatBot Plugin,FDKOX22CWX,75.96,2,0.0,22.788,30.000000000000004,151.92,High Profit
113,EMEA-2022-128867,2022-11-04,20221104,Alexandra Dyer,Netherlands,The Hague,EMEA,EU-WEST,Walmart,1096,Retail,SMB,ContactMatcher,OAF6MA4XZ7,27.24,6,0.0,13.3476,49.00000000000001,163.44,High Profit
114,AMER-2020-115259,2020-08-25,20200825,Rebecca Dickens,Mexico,Mexico City,AMER,LATAM,Amazon,1004,Tech,SMB,Storage,1DRXSUGWY6,40.096,14,0.2,14.5348,36.25000000000001,561.3439999999999,High Profit
